reference,id,type,business,price,price_num,price_m2,area_m2,private_area,private_area_num,total_area,total_area_num,land_area,land_area_num,dorms,suites,bathrooms,parking,floor,address_complete,street,number,neighborhood,city,uf,latitude,longitude,advertiser,updated_days,url
2020007542,6e64200d-cef0-4e7f-9ab3-a6d943871505,Apartamento,Venda,"185.000,00",185000.0,5967.74,31.0,"31,00",31.0,"54,00",54.0,"54,00",54.0,1,0,1,1,5,"Rua Osvaldo Cruz, 263, ap 507 - Zona 07, Maringá - PR",Rua Osvaldo Cruz,263,Zona 07,Maringá,PR,-23.4109751,-51.9419312,Lélo Imóveis,1,https://sub100.com.br/imoveis/2020007542/venda/apartamento-em-maringa-pr/zona-07
2020006803,1f51eed5-ee20-445e-a85f-6dacdfd52cad,Apartamento,Venda,"190.000,00",190000.0,8636.36,22.0,"22,00",22.0,"57,00",57.0,"57,00",57.0,1,0,1,1,7,"Rua Doutor Saulo Porto Virmond, 1064, ap 711 - Chácara Paulista, Maringá - PR",Rua Doutor Saulo Porto Virmond,1064,Chácara Paulista,Maringá,PR,-23.4423481,-51.9227330,Lélo Imóveis,1,https://sub100.com.br/imoveis/2020006803/venda/apartamento-em-maringa-pr/chacara-paulista
2020007472,9437ad49-a7d3-4f82-b69a-e77790acd583,Apartamento,Venda,"215.000,00",215000.0,2792.21,77.0,"77,00",77.0,"81,00",81.0,"81,00",81.0,3,0,1,1,,"Avenida Doutor Mário Clapier Urbinati, 724, bl g ap 34 - Zona 07, Maringá - PR",Avenida Doutor Mário Clapier Urbinati,724,Zona 07,Maringá,PR,-23.4053690,-51.9459467,Lélo Imóveis,1,https://sub100.com.br/imoveis/2020007472/venda/apartamento-em-maringa-pr/zona-07
24520000086,a69090da-b71f-4ff9-9655-47d142607fc9,Apartamento,Venda,"250.000,00",250000.0,5478.85,45.63,"45,63",45.63,"0,00",0.0,"0,00",0.0,2,0,1,1,,"Rua Pioneira Maria Aparecida Araújo de Siqueira, 215, apto 701 - Loteamento Sumaré, Maringá - PR",Rua Pioneira Maria Aparecida Araújo de Siqueira,215,Loteamento Sumaré,Maringá,PR,-23.3817751,-51.9055654,PAP Imóveis,1,https://sub100.com.br/imoveis/24520000086/venda/apartamento-em-maringa-pr/loteamento-sumare
24520000105,68163b3f-2508-4930-8414-1f8e944e3fc0,Apartamento,Venda,"250.000,00",250000.0,4545.45,55.0,"55,00",55.0,"0,00",0.0,"0,00",0.0,0,1,1,2,,"Rua Professor Lauro Eduardo Werneck, 1023, 1310 - Zona 07, Maringá - PR",Rua Professor Lauro Eduardo Werneck,1023,Zona 07,Maringá,PR,-23.4077353,-51.9392693,PAP Imóveis,1,https://sub100.com.br/imoveis/24520000105/venda/apartamento-em-maringa-pr/zona-07
2020007075,df9d3aeb-b22a-47eb-b094-fd2779913a22,Apartamento,Venda,"250.000,00",250000.0,2976.19,84.0,"84,00",84.0,"101,00",101.0,"101,00",101.0,3,0,1,1,3,"Rua Paranaguá, 565, bl 11 ap 32 - Zona 07, Maringá - PR",Rua Paranaguá,565,Zona 07,Maringá,PR,-23.4078482,-51.9450163,Lélo Imóveis,1,https://sub100.com.br/imoveis/2020007075/venda/apartamento-em-maringa-pr/zona-07
24520000108,c5dd221a-2106-4f8e-9773-e1ce2165d3d3,Apartamento,Venda,"250.000,00",250000.0,5319.15,47.0,"47,00",47.0,"0,00",0.0,"0,00",0.0,2,0,1,1,,"Avenida José Alves Nendo, 1256, 01 - Jardim São Silvestre, Maringá - PR",Avenida José Alves Nendo,1256,Jardim São Silvestre,Maringá,PR,-23.4506126,-51.9097815,PAP Imóveis,1,https://sub100.com.br/imoveis/24520000108/venda/apartamento-em-maringa-pr/jardim-sao-silvestre
420002072,5b56cd27-c07f-46c8-b488-7e269b855548,Apartamento,Venda,"255.000,00",255000.0,6096.1,41.83,"41,83",41.83,"79,78",79.78,"0,00",0.0,2,0,1,1,3,"Rua Pioneiro Alfredo José da Costa, 157, torre 2 - Jardim Alvorada, Maringá - PR",Rua Pioneiro Alfredo José da Costa,157,Jardim Alvorada,Maringá,PR,-23.3909575,-51.9090277,Bellakaza Negócios Imobiliários,1,https://sub100.com.br/imoveis/420002072/venda/apartamento-em-maringa-pr/jardim-alvorada
420001963,c0fcfcb3-5dd1-4925-b633-ea5a6611fc65,Apartamento,Venda,"260.000,00",260000.0,4646.18,55.96,"55,96",55.96,"59,40",59.4,"0,00",0.0,3,0,1,1,,"Rua Professor Giampero Monacci, 438 - Jardim Novo Horizonte, Maringá - PR",Rua Professor Giampero Monacci,438,Jardim Novo Horizonte,Maringá,PR,-23.443861399999985,-51.9371913,Bellakaza Negócios Imobiliários,1,https://sub100.com.br/imoveis/420001963/venda/apartamento-em-maringa-pr/jardim-novo-horizonte
55020000296,fb632d47-cae3-4815-8456-7e49b85291ab,Apartamento,Venda,"260.000,00",260000.0,5777.78,45.0,"45,00",45.0,"57,00",57.0,"57,00",57.0,2,0,1,1,,",  - Jardim América, Maringá - PR",,,Jardim América,Maringá,PR,-51.92903407777777,-23.415639944444447,Lucero Purizaga - Gestora de Negócios Empresariais e Imobiliários,1,https://sub100.com.br/imoveis/55020000296/venda/apartamento-em-maringa-pr/jardim-america
19420001531,481cd3ee-fc57-406b-b467-815a5de8d9a2,Apartamento,Venda,"270.000,00",270000.0,5406.49,49.94,"49,94",49.94,"56,73",56.73,"0,00",0.0,1,1,2,1,,"Rua Moscados, 112 - Vila Marumby, Maringá - PR",Rua Moscados,112,Vila Marumby,Maringá,PR,-23.4483887,-51.9250967,Benites & Gonzaga Imóveis,1,https://sub100.com.br/imoveis/19420001531/venda/apartamento-em-maringa-pr/vila-marumby
2020007268,bd89fa20-6cd3-46ac-8d60-c9ee1c654099,Apartamento,Venda,"275.000,00",275000.0,3160.92,87.0,"87,00",87.0,"90,00",90.0,"90,00",90.0,3,0,1,1,2,"Rua Paranaguá, 565, bl 06 ap 21 - Zona 07, Maringá - PR",Rua Paranaguá,565,Zona 07,Maringá,PR,-23.4081633,-51.9443706,Lélo Imóveis,1,https://sub100.com.br/imoveis/2020007268/venda/apartamento-em-maringa-pr/zona-07
45420000154,7f597aa6-de6c-4b6e-a1fa-206f5a8bbe28,Apartamento,Venda,"288.574,34",288574.34,5393.91,53.5,"53,50",53.5,"103,00",103.0,"0,00",0.0,1,1,2,1,3,"Rua Marechal Floriano Peixoto, 237, fundos - vista p/ catedral - Zona 07, Maringá - PR",Rua Marechal Floriano Peixoto,237,Zona 07,Maringá,PR,-23.4154856,-51.9292466,Elson Maia Corretor de Imóveis,1,https://sub100.com.br/imoveis/45420000154/venda/apartamento-em-maringa-pr/zona-07
